,hex_name,short_name,polys,lines,centroids,label_loc,long,lat
2520,8342e8fffffffff,8342e8,"POLYGON ((25.16484486434551 70.74049887815605, 24.63790263963741 71.06502875478755, 24.60858411501939 71.76283882156002, 25.105538697690527 72.14671856691832, 25.638151386592504 71.82846845787928, 25.66814911377323 71.11992455179448, 25.16484486434551 70.74049887815605))","LINESTRING (25.16484486434551 70.74049887815605, 24.63790263963741 71.06502875478755, 24.60858411501939 71.76283882156002, 25.105538697690527 72.14671856691832, 25.638151386592504 71.82846845787928, 25.66814911377323 71.11992455179448, 25.16484486434551 70.74049887815605)",POINT (25.138743808661015 71.44391549778244),"(25.13831484422863, 71.44138168667726)",25.13831484422863,71.44138168667726
2521,83536bfffffffff,83536b,"POLYGON ((25.55506787879974 51.424500358318205, 24.959442565657447 51.249722703944435, 24.536825209077758 51.67317816195622, 24.706441323747846 52.26654354996584, 25.224029603289427 52.47925973376303, 25.687082328101447 52.04246627308063, 25.66685020036332 51.82571821929927, 25.55506787879974 51.424500358318205))","LINESTRING (25.55506787879974 51.424500358318205, 24.959442565657447 51.249722703944435, 24.536825209077758 51.67317816195622, 24.706441323747846 52.26654354996584, 25.224029603289427 52.47925973376303, 25.687082328101447 52.04246627308063, 25.66685020036332 51.82571821929927, 25.55506787879974 51.424500358318205)",POINT (25.12324267662196 51.85037205224059),"(25.14418745784804, 51.93409224618995)",25.14418745784804,51.93409224618995
2522,834233fffffffff,834233,"POLYGON ((25.187115186257923 60.260164950091784, 24.69151866809192 60.655391627340705, 24.71006186128926 61.338951099072546, 25.22642498182882 61.63736877357023, 25.728894154879352 61.24464117933737, 25.708095538262025 60.550875860186316, 25.187115186257923 60.260164950091784))","LINESTRING (25.187115186257923 60.260164950091784, 24.69151866809192 60.655391627340705, 24.71006186128926 61.338951099072546, 25.22642498182882 61.63736877357023, 25.728894154879352 61.24464117933737, 25.708095538262025 60.550875860186316, 25.187115186257923 60.260164950091784)",POINT (25.21019629728407 60.948199742965066),"(25.209786287894975, 60.950016403339035)",25.209786287894975,60.950016403339035
2523,8342e1fffffffff,8342e1,"POLYGON ((25.2288698995139 68.62876879050627, 24.706515824727212 68.96954002385127, 24.686879415655643 69.66817201562758, 25.18952227674073 70.0366968214463, 25.7178821848289 69.70151458275944, 25.73759465962534 68.99208265636605, 25.2288698995139 68.62876879050627))","LINESTRING (25.2288698995139 68.62876879050627, 24.706515824727212 68.96954002385127, 24.686879415655643 69.66817201562758, 25.18952227674073 70.0366968214463, 25.7178821848289 69.70151458275944, 25.73759465962534 68.99208265636605, 25.2288698995139 68.62876879050627)",POINT (25.21275995183593 69.33286068934345),"(25.212291236575695, 69.33012733599682)",25.212291236575695,69.33012733599682
2524,834202fffffffff,834202,"POLYGON ((25.24135471391834 62.32949193002958, 24.7379510064541 62.71287642336126, 24.747230901926276 63.40286744706651, 25.261591153190224 63.71982318098801, 25.771726919178818 63.33973382203708, 25.76074595984678 62.63926593041966, 25.24135471391834 62.32949193002958))","LINESTRING (25.24135471391834 62.32949193002958, 24.7379510064541 62.71287642336126, 24.747230901926276 63.40286744706651, 25.261591153190224 63.71982318098801, 25.771726919178818 63.33973382203708, 25.76074595984678 62.63926593041966, 25.24135471391834 62.32949193002958)",POINT (25.254960030533574 63.02425536735089),"(25.254489911782628, 63.02630512269917)",25.254489911782628,63.02630512269917
2525,8342e4fffffffff,8342e4,"POLYGON ((25.262825293452245 66.51925125655274, 24.745966460653257 66.87532013341382, 24.736058777617643 67.57290694159948, 25.243529713894397 67.92506775868289, 25.766685417822206 67.57385194654749, 25.77606573681821 66.86548697049882, 25.262825293452245 66.51925125655274))","LINESTRING (25.262825293452245 66.51925125655274, 24.745966460653257 66.87532013341382, 24.736058777617643 67.57290694159948, 25.243529713894397 67.92506775868289, 25.766685417822206 67.57385194654749, 25.77606573681821 66.86548697049882, 25.262825293452245 66.51925125655274)",POINT (25.25673427722324 67.22210761404276),"(25.256164673510405, 67.22411353750665)",25.256164673510405,67.22411353750665
2526,83421dfffffffff,83421d,"POLYGON ((25.266839095995138 64.41763759295412, 24.75632109939871 64.78794363413328, 24.756085681804695 65.48263483822323, 25.267474549615862 65.81755691501812, 25.78453231595814 65.45133502399418, 25.783645237750168 64.74597440458675, 25.266839095995138 64.41763759295412))","LINESTRING (25.266839095995138 64.41763759295412, 24.75632109939871 64.78794363413328, 24.756085681804695 65.48263483822323, 25.267474549615862 65.81755691501812, 25.78453231595814 65.45133502399418, 25.783645237750168 64.74597440458675, 25.266839095995138 64.41763759295412)",POINT (25.270687790974286 65.11736770249432),"(25.270161930829467, 65.11963932906373)",25.270161930829467,65.11963932906373
2527,833e4afffffffff,833e4a,"POLYGON ((25.68152540507019 33.99521358683296, 25.015712949394725 33.90167129090043, 24.614779035543457 34.47971570962195, 24.87527620327206 35.15090987944165, 25.53775691575591 35.2513517446814, 25.94309945632134 34.67376268933894, 25.68152540507019 33.99521358683296))","LINESTRING (25.68152540507019 33.99521358683296, 25.015712949394725 33.90167129090043, 24.614779035543457 34.47971570962195, 24.87527620327206 35.15090987944165, 25.53775691575591 35.2513517446814, 25.94309945632134 34.67376268933894, 25.68152540507019 33.99521358683296)",POINT (25.279088502522434 34.57493633027345),"(25.279066335317875, 34.57673919948044)",25.279066335317875,34.57673919948044
2528,835373fffffffff,835373,"POLYGON ((25.74225915343519 46.342318775279765, 25.120502934344824 46.18683077690892, 24.698053174996026 46.662153301178826, 24.893471360871605 47.289038503515094, 25.509716936817732 47.448767341645144, 25.936048288917128 46.97744899965973, 25.74225915343519 46.342318775279765))","LINESTRING (25.74225915343519 46.342318775279765, 25.120502934344824 46.18683077690892, 24.698053174996026 46.662153301178826, 24.893471360871605 47.289038503515094, 25.509716936817732 47.448767341645144, 25.936048288917128 46.97744899965973, 25.74225915343519 46.342318775279765)",POINT (25.317648208220945 46.81690000789159),"(25.317571888487617, 46.81980115041928)",25.317571888487617,46.81980115041928
2529,835303fffffffff,835303,"POLYGON ((25.74745533436884 40.92752672124858, 25.102879455128043 40.796996208196575, 24.686636367138302 41.3218211543748, 24.910712313479486 41.97462737176898, 25.55055395667235 42.110681898787846, 25.971062530924144 41.58848383580093, 25.74745533436884 40.92752672124858))","LINESTRING (25.74745533436884 40.92752672124858, 25.102879455128043 40.796996208196575, 24.686636367138302 41.3218211543748, 24.910712313479486 41.97462737176898, 25.55055395667235 42.110681898787846, 25.971062530924144 41.58848383580093, 25.74745533436884 40.92752672124858)",POINT (25.329237200159227 41.452622612454),"(25.32917892064099, 41.455152495087866)",25.32917892064099,41.455152495087866
